X1_pfam_counts.txt	X2_pfam_counts.txt	X3_pfam_counts.txt	X4_pfam_counts.txt	X5_pfam_counts.txt	X6_pfam_counts.txt	pfamdesc	molecular_function	biological_process	cellular_component
PF13739	0	0	0	1	0	2	Domain of unknown function (DUF4163)	NA	NA	NA
PF13960	0	0	0	1	0	1	Domain of unknown function (DUF4218)	NA	NA	NA
PF13970	0	0	0	1	0	0	Domain of unknown function (DUF4221)	NA	NA	NA
PF14022	0	0	0	1	1	1	Protein of unknown function (DUF4238)	NA	NA	NA
PF01861	0	0	0	1	2	1	Protein of unknown function DUF43	NA	NA	NA
PF14491	0	0	0	1	1	0	Protein of unknown function (DUF4435)	NA	NA	NA
PF14800	0	0	0	1	0	2	Domain of unknown function (DUF4481)	NA	NA	NA
PF14937	0	0	0	1	2	0	Domain of unknown function (DUF4500)	NA	NA	NA
PF15012	0	0	0	1	0	0	Domain of unknown function (DUF4519)	NA	NA	NA
PF16118	0	0	0	1	1	0	Domain of unknown function (DUF4834)	NA	NA	NA
PF16141	0	0	0	1	0	0	Putative glycoside hydrolase Family 18, chitinase_18	NA	NA	NA
PF16154	0	0	0	1	2	1	Domain of unknown function (DUF4862)	NA	NA	NA
PF16227	0	0	0	1	1	1	Domain of unknown function (DUF4886)	NA	NA	NA
PF16288	0	0	0	1	0	1	Domain of unknown function (DUF4934)	NA	NA	NA
PF16411	0	0	0	1	0	3	Domain of unknown function (DUF5019)	GO:2001070	NA	GO:0019867
PF05913	0	0	0	1	0	1	Bacterial protein of unknown function (DUF871)	NA	NA	NA
PF06107	0	0	0	1	1	0	Bacterial protein of unknown function (DUF951)	NA	NA	NA
PF14784	0	0	0	1	0	1	C-terminal domain of the ECSIT protein	NA	NA	NA
PF01303	0	0	0	1	0	0	Egg lysin (Sperm-lysin)	NA	GO:0007338	NA
PF14436	0	0	0	1	0	2	Bacterial EndoU nuclease	NA	NA	NA
PF15002	0	0	0	1	1	0	ERK and JNK pathways, inhibitor	NA	NA	NA
PF15952	0	0	0	1	1	0	Enhancer of split M4 family	NA	GO:0007219,GO:0007423	NA
PF15350	0	0	0	1	1	0	Ewing's tumour-associated antigen 1 homologue	NA	NA	NA
PF06630	0	0	0	1	2	0	Enterobacterial exodeoxyribonuclease VIII	GO:0051908	GO:0090305	NA
PF16046	0	0	0	1	0	1	FAM76 protein	NA	NA	NA
PF14676	0	0	0	1	0	0	FANCI solenoid 2	NA	NA	NA
PF11510	0	0	0	1	0	0	Fanconi Anaemia group E protein FANCE	NA	NA	NA
PF14853	0	0	0	1	1	1	Fis1 C-terminal tetratricopeptide repeat	NA	NA	NA
PF16676	0	0	0	1	0	0	Transactivation domain of FOXO protein family	NA	NA	NA
PF12235	0	0	0	1	1	0	Fragile X-related 1 protein core C terminal	GO:0003723	NA	NA
PF05349	0	0	0	1	0	0	GATA-type transcription activator, N-terminal	GO:0003677,GO:0008270	GO:0045893	GO:0005634
PF03323	0	0	0	1	1	2	Bacillus/Clostridium GerA spore germination protein	NA	GO:0009847	GO:0016021
PF12205	0	0	0	1	0	0	G protein-coupled receptor kinase-interacting protein 1 C term	NA	NA	NA
PF01744	0	0	0	1	0	0	GLTT repeat (6 copies)	NA	NA	NA
PF06475	0	0	0	1	0	2	Putative glycolipid-binding	NA	NA	NA
PF07488	0	0	0	1	1	1	Glycosyl hydrolase family 67 middle domain	GO:0046559	GO:0045493	GO:0005576
PF03514	0	0	0	1	1	0	GRAS domain family	NA	NA	NA
PF14932	0	0	0	1	0	0	HAUS augmin-like complex subunit 3	NA	NA	NA
PF08938	0	0	0	1	0	0	HBS1 N-terminus	NA	NA	NA
PF16784	0	0	0	1	0	0	Putative HNHc nuclease	NA	NA	NA
PF00159	0	0	0	1	0	0	Pancreatic hormone peptide	GO:0005179	NA	GO:0005576
PF16954	0	0	0	1	0	0	Haem-transporter, endosomal/lysosomal, haem-responsive gene	GO:0015232	GO:0015886	NA
PF09612	0	0	0	1	0	0	Bacterial protein of unknown function (HtrL_YibB)	NA	NA	NA
PF13787	0	0	0	1	0	1	Protein of unknown function with HXXEE motif	NA	NA	NA
PF15311	0	0	0	1	2	0	Hydrolethalus syndrome protein 1 C-terminus	NA	NA	NA
PF10480	0	0	0	1	0	0	Beta-1 integrin binding protein	NA	NA	NA
PF07095	0	0	0	1	0	0	Intracellular growth attenuator protein IgaA	NA	NA	GO:0009276,GO:0016021
PF05046	0	0	0	1	2	1	Mitochondrial large subunit ribosomal protein (Img2)	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF15631	0	0	0	1	0	0	NTF2 fold immunity protein	NA	NA	NA
PF03941	0	0	0	1	1	4	Inner centromere protein, ARK binding region	NA	NA	NA
PF11720	0	0	0	1	4	3	Peptidase inhibitor I78 family	NA	NA	NA
PF08412	0	0	0	1	0	0	Ion transport protein N-terminal	NA	NA	NA
PF15038	0	0	0	1	0	0	Jiraiya	NA	NA	NA
PF03957	0	0	0	1	6	0	Jun-like transcription factor	NA	NA	NA
PF02702	0	0	0	1	0	1	Osmosensitive K+ channel His kinase sensor domain	GO:0000155,GO:0004673	GO:0000160	GO:0016020
PF11834	0	0	0	1	0	0	KHA, dimerisation domain of potassium ion channel	NA	NA	NA
PF13619	0	0	0	1	0	1	KTSC domain	NA	NA	NA
PF03521	0	0	0	1	0	0	Kv2 voltage-gated K+ channel	GO:0005249	GO:0006813	GO:0008076
PF09045	0	0	0	1	0	0	L27_2	NA	NA	NA
PF03168	0	0	0	1	0	3	Late embryogenesis abundant protein	NA	NA	NA
PF10714	0	0	0	1	0	0	Late embryogenesis abundant protein 18	NA	NA	NA
PF03020	0	0	0	1	2	2	LEM domain	NA	NA	NA
PF14854	0	0	0	1	0	1	Leucine rich adaptor protein	NA	NA	NA
PF05507	0	0	0	1	0	0	Microfibril-associated glycoprotein (MAGP)	NA	NA	GO:0001527
PF09637	0	0	0	1	2	0	Med18 protein	GO:0001104	GO:0006357	GO:0016592
PF10185	0	0	0	1	1	5	Chaperone for wingless signalling and trafficking of LDL receptor	NA	NA	NA
PF14314	0	0	0	1	0	0	Virus-capping methyltransferase	NA	NA	NA
PF16690	0	0	0	1	1	4	Methylmalonic aciduria and homocystinuria type C family	NA	NA	NA
PF10245	0	0	0	1	2	0	Mitochondrial 28S ribosomal protein S22	NA	NA	NA
PF08474	0	0	0	1	0	0	Myelin transcription factor 1	NA	NA	NA
PF06512	0	0	0	1	0	1	Sodium ion transport-associated	GO:0005248	GO:0006814	GO:0001518
PF07562	0	0	0	1	0	0	Nine Cysteines Domain of family 3 GPCR	GO:0004930	GO:0007186	NA
PF07225	0	0	0	1	3	7	NADH-ubiquinone oxidoreductase B15 subunit (NDUFB4)	GO:0008137	NA	GO:0005739
PF09292	0	0	0	1	0	0	Endonuclease VIII-like 1, DNA bind	NA	NA	NA
PF10167	0	0	0	1	0	2	Uncharacterised conserved protein	NA	NA	NA
PF05536	0	0	0	1	2	0	Neurochondrin	NA	NA	NA
PF15692	0	0	0	1	0	0	NF-kappa-B-activating protein	NA	NA	NA
PF03980	0	0	0	1	0	2	Nnf1	NA	NA	NA
PF15520	0	0	0	1	0	0	Novel toxin 10	NA	NA	NA
PF15529	0	0	0	1	0	0	Bacterial toxin 24	NA	NA	NA
PF01759	0	0	0	1	4	0	UNC-6/NTR/C345C module	NA	NA	NA
PF10487	0	0	0	1	1	1	Nucleoporin subcomplex protein binding to Pom34	NA	NA	NA
PF14778	0	0	0	1	1	3	Olfactory receptor 4-like	NA	NA	NA
PF02191	0	0	0	1	1	3	Olfactomedin-like domain	NA	NA	NA
PF07034	0	0	0	1	1	0	Origin recognition complex (ORC) subunit 3 N-terminus	GO:0003677	GO:0006260	GO:0005664
PF09777	0	0	0	1	0	0	Osteopetrosis-associated transmembrane protein 1 precursor	NA	NA	NA
PF08276	0	0	0	1	0	0	PAN-like domain	NA	NA	NA
PF09274	0	0	0	1	0	1	ParG	NA	NA	NA
PF00341	0	0	0	1	0	0	PDGF/VEGF domain	GO:0008083	NA	GO:0016020
PF01577	0	0	0	1	0	1	Potyvirus P1 protease	GO:0004197	GO:0006508	NA
PF04757	0	0	0	1	2	0	Pex2 / Pex12 amino terminal region	NA	NA	NA
PF05100	0	0	0	1	0	1	Phage minor tail protein L	NA	NA	NA
PF16866	0	0	0	1	0	0	PHD-finger	GO:0005515	NA	NA
PF14882	0	0	0	1	0	0	Phage-integrase repeat unit	NA	NA	NA
PF08274	0	0	0	1	1	3	PhnA Zinc-Ribbon	NA	NA	NA
PF15409	0	0	0	1	2	0	Pleckstrin homology domain	NA	NA	NA
PF04697	0	0	0	1	0	0	pinin/SDK conserved region	NA	NA	NA
PF04831	0	0	0	1	2	1	Popeye protein conserved region	NA	NA	GO:0016020
PF08170	0	0	0	1	1	0	POPLD (NUC188) domain	GO:0004526	GO:0006396	NA
PF15060	0	0	0	1	0	0	Differentiation and proliferation regulator	NA	GO:0007275,GO:0030154	NA
PF00524	0	0	0	1	0	0	E1 Protein, N terminal domain	GO:0016817	NA	NA
PF09029	0	0	0	1	2	0	5-aminolevulinate synthase presequence	GO:0003870,GO:0030170	GO:0006778	GO:0005759
PF04139	0	0	0	1	0	0	Rad9	NA	GO:0000077	GO:0030896
PF10579	0	0	0	1	0	0	Rapsyn N-terminal myristoylation and linker region	GO:0033130,GO:0043495	GO:0007268	NA
PF08169	0	0	0	1	0	0	RBB1NT (NUC162) domain	NA	NA	NA
PF12338	0	0	0	1	0	0	Ribulose-1,5-bisphosphate carboxylase small subunit	NA	NA	NA
PF09457	0	0	0	1	1	1	FIP domain	NA	NA	NA
PF09519	0	0	0	1	1	0	HindVP restriction endonuclease	GO:0003677,GO:0009036	GO:0009307	NA
PF09128	0	0	0	1	1	2	Regulator of G protein signalling-like domain	GO:0005089	NA	GO:0005737
PF05132	0	0	0	1	0	0	RNA polymerase III RPC4	GO:0003677,GO:0003899	GO:0006383	GO:0005666
PF07073	0	0	0	1	0	0	Modulator of Rho-dependent transcription termination (ROF)	NA	NA	NA
PF05087	0	0	0	1	0	0	Rotavirus VP2 protein	GO:0003723	NA	GO:0019013
PF14474	0	0	0	1	0	0	RTC4-like domain	NA	NA	NA
PF16073	0	0	0	1	3	0	Starter unit:ACP transacylase in aflatoxin biosynthesis	NA	NA	NA
PF11139	0	0	0	1	0	1	Sap, sulfolipid-1-addressing protein	NA	NA	NA
PF04917	0	0	0	1	0	2	Bacterial shufflon protein, N-terminal constant region	NA	NA	NA
PF16878	0	0	0	1	0	2	Transcriptional regulator, SIX1, N-terminal SD domain	NA	NA	NA
PF09808	0	0	0	1	0	0	Small nuclear RNA activating complex (SNAPc), subunit SNAP43	NA	NA	NA
PF15402	0	0	0	1	0	0	N-terminus of kinetochore NMS complex subunit Spc7	NA	NA	NA
PF14568	0	0	0	1	0	1	SMI1-KNR4 cell-wall	NA	NA	NA
PF11414	0	0	0	1	0	0	Adenomatous polyposis coli tumour suppressor protein	NA	NA	NA
PF06687	0	0	0	1	0	0	SUR7/PalI family	NA	NA	GO:0005886
PF10406	0	0	0	1	0	1	Transcription factor TFIID complex subunit 8 C-term	NA	NA	NA
PF03943	0	0	0	1	1	0	TAP C-terminal domain	NA	GO:0051028	GO:0005634
PF05733	0	0	0	1	0	0	Tenuivirus/Phlebovirus nucleocapsid protein	GO:0003723	NA	GO:0019013
PF14790	0	0	0	1	0	1	Tetrahydrodipicolinate N-succinyltransferase N-terminal	NA	NA	NA
PF14995	0	0	0	1	1	0	Transmembrane protein	NA	NA	NA
PF15706	0	0	0	1	6	0	Mature oligodendrocyte transmembrane protein, TMEM132D, C-term	NA	NA	NA
PF10190	0	0	0	1	3	0	Putative transmembrane protein 170	NA	NA	NA
PF06552	0	0	0	1	1	3	Plant specific mitochondrial import receptor subunit TOM20	NA	GO:0045040	GO:0005742
PF08038	0	0	0	1	0	0	TOM7 family	NA	GO:0030150	GO:0005742
PF15657	0	0	0	1	1	0	HNH/Endo VII superfamily nuclease toxins	NA	NA	NA
PF07515	0	0	0	1	0	0	Putative conjugal transfer nickase/helicase TraI C-term	NA	NA	NA
PF07283	0	0	0	1	0	1	Conjugal transfer protein TrbH	NA	NA	NA
PF09605	0	0	0	1	0	1	Hypothetical bacterial integral membrane protein (Trep_Strep)	NA	NA	NA
PF08558	0	0	0	1	0	0	Telomere repeat binding factor (TRF)	GO:0042162,GO:0042803	NA	NA
PF08344	0	0	0	1	5	1	Transient receptor ion channel II	NA	NA	NA
PF03698	0	0	0	1	0	0	Uncharacterised protein family (UPF0180)	NA	NA	NA
PF15114	0	0	0	1	0	0	Uncharacterised protein family UPF0640	NA	NA	NA
PF01847	0	0	0	1	1	2	von Hippel-Lindau disease tumour suppressor protein	NA	NA	NA
PF15912	0	0	0	1	2	0	Virilizer, N-terminal	NA	NA	NA
PF09446	0	0	0	1	1	0	VMA21-like domain	NA	GO:0070072	NA
PF10349	0	0	0	1	0	5	WW-domain ligand protein	NA	NA	NA
PF05181	0	0	0	1	0	5	XPA protein C-terminus	NA	NA	NA
PF03895	0	0	0	1	0	4	YadA-like C-terminal region	NA	NA	NA
PF14256	0	0	0	1	4	0	YwiC-like protein	NA	NA	NA
PF12861	0	0	0	1	0	2	Anaphase-promoting complex subunit 11 RING-H2 finger	GO:0004842	NA	GO:0005680
PF05438	0	0	0	0	11	0	Thyrotropin-releasing hormone (TRH)	GO:0005184	GO:0009755	GO:0005576
PF07987	0	0	0	0	7	0	Domain of unkown function (DUF1775)	NA	NA	NA
PF02793	0	0	0	0	7	0	Hormone receptor domain	GO:0004930	NA	GO:0016020
PF01462	0	0	0	0	7	1	Leucine rich repeat N-terminal domain	NA	NA	NA
PF12052	0	0	0	0	6	0	Voltage gated calcium channel subunit beta domain 4Aa N terminal	GO:0005245	GO:0070588	GO:0005891
PF14960	0	0	0	0	5	0	ATP synthase regulation	NA	NA	NA
PF07912	0	0	0	0	5	2	ERp29, N-terminal domain	NA	GO:0009306	GO:0005788
PF10456	0	0	0	0	4	2	WASP-binding domain of Sorting nexin protein	NA	NA	NA
PF12260	0	0	0	0	4	2	Protein-kinase domain of FAM69	NA	NA	NA
PF10149	0	0	0	0	4	0	Transmembrane protein 231	NA	NA	NA
PF00878	0	0	0	0	3	0	Cation-independent mannose-6-phosphate receptor repeat	GO:0005215	GO:0006810	GO:0005737,GO:0016021
PF06631	0	0	0	0	3	0	Protein of unknown function (DUF1154)	NA	NA	NA
PF15914	0	0	0	0	3	1	FAM193 family C-terminal	NA	NA	NA
PF16692	0	0	0	0	3	0	Folliculin C-terminal domain	GO:0005085	NA	NA
PF09790	0	0	0	0	3	2	Hyccin	NA	NA	NA
PF08158	0	0	0	0	3	3	NUC130/3NT domain	NA	NA	NA
PF01342	0	0	0	0	3	1	SAND domain	GO:0003677	NA	NA
PF15613	0	0	0	0	3	2	WSTF, HB1, Itc1p, MBD9 motif 2	NA	NA	NA
PF12269	0	0	0	0	3	1	CpG binding protein zinc finger C terminal domain	NA	NA	NA
PF15243	0	0	0	0	2	0	Anaphase-promoting complex subunit 15	NA	GO:0090266	GO:0005680
PF04103	0	0	0	0	2	0	CD20-like family	NA	NA	GO:0016021
PF15007	0	0	0	0	2	0	Centrosomal spindle body, CEP44	NA	NA	NA
PF12557	0	0	0	0	2	1	Cob(I)alamin adenosyltransferase N terminal	NA	NA	NA
PF05462	0	0	0	0	2	1	Slime mold cyclic AMP receptor	NA	NA	NA
PF06476	0	0	0	0	2	0	Protein of unknown function (DUF1090)	NA	NA	NA
PF07613	0	0	0	0	2	10	Protein of unknown function (DUF1576)	NA	NA	NA
PF08759	0	0	0	0	2	0	Domain of unknown function (DUF1792)	NA	NA	NA
PF10293	0	0	0	0	2	4	Domain of unknown function (DUF2405)	NA	NA	NA
PF09343	0	0	0	0	2	5	Conserved hypothetical protein 2217 (DUF2460)	NA	NA	NA
PF10964	0	0	0	0	2	1	Protein of unknown function (DUF2766)	NA	NA	NA
PF12140	0	0	0	0	2	0	Protein of unknown function (DUF3588)	NA	NA	NA
PF12307	0	0	0	0	2	1	Protein of unknown function (DUF3631)	NA	NA	NA
PF14974	0	0	0	0	2	0	Domain of unknown function (DUF4511)	NA	NA	NA
PF09810	0	0	0	0	2	0	Exonuclease V - a 5' deoxyribonuclease	GO:0045145	NA	NA
PF15388	0	0	0	0	2	0	Protein Family FAM117	NA	NA	NA
PF10621	0	0	0	0	2	0	F420H2 dehydrogenase subunit FpoO	NA	NA	NA
PF08152	0	0	0	0	2	0	GUCT (NUC152) domain	GO:0003723,GO:0004386,GO:0005524	NA	GO:0005634
PF04836	0	0	0	0	2	0	Interferon-related protein conserved region	NA	NA	NA
PF12075	0	0	0	0	2	5	KN motif	NA	NA	NA
PF11488	0	0	0	0	2	1	Transcriptional regulatory protein LGE1	NA	NA	NA
PF16045	0	0	0	0	2	0	LisH	GO:0005515	NA	NA
PF01463	0	0	0	0	2	0	Leucine rich repeat C-terminal domain	NA	NA	NA
PF08122	0	0	0	0	2	0	NADH-ubiquinone oxidoreductase B12 subunit family	NA	GO:0022900	GO:0005739,GO:0005747
PF04170	0	0	0	0	2	0	NlpE N-terminal domain	NA	NA	NA
PF13820	0	0	0	0	2	0	Putative nucleic acid-binding region	NA	NA	NA
PF16736	0	0	0	0	2	5	PAS domain of	NA	NA	NA
PF15275	0	0	0	0	2	0	PEHE domain	NA	NA	NA
PF15499	0	0	0	0	2	0	Ubiquitin-specific peptidase-like, SUMO isopeptidase	GO:0032183,GO:0070140	NA	NA
PF04663	0	0	0	0	2	1	Phenol hydroxylase conserved region	NA	NA	NA
PF15405	0	0	0	0	2	1	Pleckstrin homology domain	NA	NA	NA
PF15903	0	0	0	0	2	0	Filopodia upregulated, FAM65	NA	NA	NA
PF10253	0	0	0	0	2	1	Mitotic checkpoint regulator, MAD2B-interacting	NA	NA	NA
PF02196	0	0	0	0	2	0	Raf-like Ras-binding domain	GO:0005057	GO:0007165	NA
PF13877	0	0	0	0	2	0	Potential Monad-binding region of RPAP3	NA	NA	NA
PF06428	0	0	0	0	2	1	GDP/GTP exchange factor Sec2p	NA	NA	NA
PF09631	0	0	0	0	2	0	Sen15 protein	NA	NA	NA
PF08631	0	0	0	0	2	0	Meiosis protein SPO22/ZIP4 like	NA	GO:0051321	NA
PF06056	0	0	0	0	2	4	Putative ATPase subunit of terminase (gpP-like)	GO:0005524	GO:0019069	NA
PF15705	0	0	0	0	2	0	Mature oligodendrocyte transmembrane protein, TMEM132D, N-term	NA	NA	NA
PF15877	0	0	0	0	2	0	Transmembrane protein family 232	NA	NA	NA
PF08473	0	0	0	0	2	0	Neuronal voltage-dependent calcium channel alpha 2acd	NA	NA	NA
PF15911	0	0	0	0	2	1	WD domain, G-beta repeat	NA	NA	NA
PF07437	0	0	0	0	2	1	YfaZ precursor	NA	NA	NA
PF09192	0	0	0	0	1	0	Actin-fragmin kinase, catalytic	NA	NA	NA
PF11559	0	0	0	0	1	0	Afadin- and alpha -actinin-Binding	NA	NA	NA
PF07757	0	0	0	0	1	3	Predicted AdoMet-dependent methyltransferase	GO:0008168	NA	NA
PF14796	0	0	0	0	1	0	Clathrin-adaptor complex-3 beta-1 subunit C-terminal	NA	NA	NA
PF12489	0	0	0	0	1	0	Nuclear coactivator	NA	NA	NA
PF14525	0	0	0	0	1	2	AraC-binding-like domain	NA	GO:0006355	NA
PF10033	0	0	0	0	1	0	Autophagy-related protein 13	NA	GO:0006914	GO:1990316
PF13329	0	0	0	0	1	0	Autophagy-related protein 2 CAD motif	NA	NA	NA
PF00895	0	0	0	0	1	0	ATP synthase protein 8	GO:0015078	GO:0015986	GO:0000276
PF02309	0	0	0	0	1	0	AUX/IAA family	NA	GO:0006355	GO:0005634
PF16646	0	0	0	0	1	0	Axin-1 tankyrase binding domain	NA	NA	NA
PF08833	0	0	0	0	1	0	Axin beta-catenin binding domain	NA	NA	NA
PF15753	0	0	0	0	1	0	Biogenesis of lysosome-related organelles complex 1 subunit 3	NA	NA	NA
PF15280	0	0	0	0	1	0	Protein aurora borealis N-terminus	NA	NA	NA
PF05714	0	0	0	0	1	0	Borrelia burgdorferi virulent strain associated lipoprotein	NA	NA	NA
PF08146	0	0	0	0	1	0	BP28CT (NUC211) domain	NA	NA	NA
PF17105	0	0	0	0	1	0	C-terminal domain of bromodomain protein 4	NA	NA	NA
PF00779	0	0	0	0	1	0	BTK motif	NA	GO:0035556	NA
PF00748	0	0	0	0	1	0	Calpain inhibitor	NA	NA	NA
PF09652	0	0	0	0	1	1	Putative CRISPR-associated protein (Cas_VVA1548)	NA	NA	NA
PF15625	0	0	0	0	1	0	CC2D2A N-terminal C2 domain	NA	NA	NA
PF15013	0	0	0	0	1	1	CCSMST1 family	NA	NA	NA
PF07778	0	0	0	0	1	0	Mis6	NA	GO:0034508	GO:0000776
PF17045	0	0	0	0	1	0	Centrosomal protein of 63 kDa	NA	NA	NA
PF06483	0	0	0	0	1	1	Chitinase C	NA	NA	NA
PF12740	0	0	0	0	1	1	Chlorophyllase enzyme	GO:0047746	GO:0015996	NA
PF16869	0	0	0	0	1	1	PF16858	NA	NA	NA
PF11429	0	0	0	0	1	0	Colicin D	GO:0004540	NA	NA
PF05205	0	0	0	0	1	1	COMPASS (Complex proteins associated with Set1p) component shg1	NA	NA	NA
PF12546	0	0	0	0	1	0	Blue/Ultraviolet sensing protein C terminal	NA	NA	NA
PF01473	0	0	0	0	1	0	Putative cell wall binding repeat	NA	NA	NA
PF14286	0	0	0	0	1	3	DHHW protein	NA	NA	NA
PF08480	0	0	0	0	1	1	Disaggregatase related	NA	NA	NA
PF06044	0	0	0	0	1	0	Dam-replacing family	NA	NA	NA
PF06252	0	0	0	0	1	0	Protein of unknown function (DUF1018)	NA	NA	NA
PF06381	0	0	0	0	1	0	Protein of unknown function (DUF1073)	NA	NA	NA
PF07210	0	0	0	0	1	0	Protein of unknown function (DUF1416)	NA	NA	NA
PF07673	0	0	0	0	1	0	Protein of unknown function (DUF1602)	NA	NA	NA
PF07760	0	0	0	0	1	0	Protein of unknown function (DUF1616)	NA	NA	NA
PF07773	0	0	0	0	1	1	Protein of unknown function (DUF1619)	NA	NA	NA
PF07894	0	0	0	0	1	0	Protein of unknown function (DUF1669)	NA	NA	NA
PF08004	0	0	0	0	1	0	Protein of unknown function (DUF1699)	NA	NA	NA
PF08856	0	0	0	0	1	0	Protein of unknown function (DUF1826)	NA	NA	NA
PF08906	0	0	0	0	1	2	Domain of unknown function (DUF1851)	NA	NA	NA
PF08979	0	0	0	0	1	0	Domain of unknown function (DUF1894)	NA	NA	NA
PF09148	0	0	0	0	1	0	Domain of unknown function (DUF1934)	NA	NA	NA
PF09431	0	0	0	0	1	0	Protein of unknown function (DUF2013)	NA	NA	NA
PF09449	0	0	0	0	1	0	Domain of unknown function (DUF2020)	NA	NA	NA
PF10016	0	0	0	0	1	0	Predicted secreted protein (DUF2259)	NA	NA	NA
PF10151	0	0	0	0	1	0	Uncharacterised conserved protein (DUF2359)	NA	NA	NA
PF10617	0	0	0	0	1	0	Protein of unknown function (DUF2474)	NA	NA	NA
PF10836	0	0	0	0	1	0	Protein of unknown function (DUF2574)	NA	NA	NA
PF10762	0	0	0	0	1	0	Protein of unknown function (DUF2583)	NA	NA	NA
PF10941	0	0	0	0	1	0	Protein of unknown function DUF2620	NA	NA	NA
PF10946	0	0	0	0	1	2	Protein of unknown function DUF2625	NA	NA	NA
PF10865	0	0	0	0	1	1	Domain of unknown function (DUF2703)	NA	NA	NA
PF11168	0	0	0	0	1	2	Protein of unknown function (DUF2955)	NA	NA	NA
PF11208	0	0	0	0	1	0	Protein of unknown function (DUF2992)	NA	NA	NA
PF11255	0	0	0	0	1	0	Protein of unknown function (DUF3054)	NA	NA	NA
PF11269	0	0	0	0	1	0	Protein of unknown function (DUF3069)	NA	NA	NA
PF11283	0	0	0	0	1	0	Protein of unknown function (DUF3084)	NA	NA	NA
PF11362	0	0	0	0	1	0	Protein of unknown function (DUF3161)	NA	NA	NA
PF11665	0	0	0	0	1	0	Protein of unknown function (DUF3265)	NA	NA	NA
PF11807	0	0	0	0	1	0	Domain of unknown function (DUF3328)	NA	NA	NA
PF11814	0	0	0	0	1	0	Peptidase_C39 like family	NA	NA	NA
PF11841	0	0	0	0	1	1	Domain of unknown function (DUF3361)	NA	NA	NA
PF11879	0	0	0	0	1	1	Domain of unknown function (DUF3399)	NA	NA	NA
PF12259	0	0	0	0	1	0	Protein of unknown function (DUF3609)	NA	NA	NA
PF12404	0	0	0	0	1	0	Peptidase	GO:0004177,GO:0008235,GO:0030145	GO:0006508	GO:0005737
PF12530	0	0	0	0	1	0	Protein of unknown function (DUF3730)	NA	NA	NA
PF12707	0	0	0	0	1	0	Protein of unknown function (DUF3804)	NA	NA	NA
PF13030	0	0	0	0	1	1	Protein of unknown function (DUF3891)	NA	NA	NA
PF13118	0	0	0	0	1	0	Protein of unknown function (DUF3972)	NA	NA	NA
PF13151	0	0	0	0	1	0	Protein of unknown function (DUF3990)	NA	NA	NA
PF13251	0	0	0	0	1	0	Domain of unknown function (DUF4042)	NA	NA	NA
PF13270	0	0	0	0	1	1	Domain of unknown function (DUF4061)	NA	NA	NA
PF13526	0	0	0	0	1	1	Protein of unknown function (DUF4125)	NA	NA	NA
PF04219	0	0	0	0	1	0	Protein of unknown function, DUF	NA	NA	NA
PF13605	0	0	0	0	1	0	Domain of unknown function (DUF4141)	NA	NA	NA
PF14106	0	0	0	0	1	0	Domain of unknown function (DUF4279)	NA	NA	NA
PF14130	0	0	0	0	1	1	Domain of unknown function (DUF4297)	NA	NA	NA
PF14584	0	0	0	0	1	0	Protein of unknown function (DUF4446)	NA	NA	NA
PF14643	0	0	0	0	1	0	Domain of unknown function (DUF4455)	NA	NA	NA
PF14975	0	0	0	0	1	0	Domain of unknown function (DUF4512)	NA	NA	NA
PF15046	0	0	0	0	1	0	Protein of unknown function (DUF4532)	NA	NA	NA
PF15061	0	0	0	0	1	0	Domain of unknown function (DUF4538)	NA	NA	NA
PF15266	0	0	0	0	1	0	Domain of unknown function (DUF4594)	NA	NA	NA
PF15366	0	0	0	0	1	1	Domain of unknown function (DUF4597)	NA	NA	NA
PF16391	0	0	0	0	1	2	Domain of unknown function	NA	NA	NA
PF04393	0	0	0	0	1	0	Protein of unknown function (DUF535)	NA	NA	NA
PF06169	0	0	0	0	1	0	Protein of unknown function (DUF982)	NA	NA	NA
PF11540	0	0	0	0	1	0	Cytoplasmic dynein 1 intermediate chain 2	NA	GO:0007018	GO:0005868
PF01683	0	0	0	0	1	0	EB module	NA	NA	NA
PF05937	0	0	0	0	1	0	EB-1 Binding Domain	GO:0008013	GO:0016055	NA
PF12310	0	0	0	0	1	0	Transcription factor protein N terminal	NA	NA	NA
PF10483	0	0	0	0	1	1	Elongator subunit Iki1	NA	NA	GO:0033588
PF13536	0	0	0	0	1	0	Putative multidrug resistance efflux transporter	NA	NA	NA
PF00555	0	0	0	0	1	0	delta endotoxin	NA	NA	NA
PF10525	0	0	0	0	1	0	Engrailed homeobox C-terminal signature domain	NA	NA	NA
PF13018	0	0	0	0	1	0	Extended Signal Peptide of Type V secretion system	NA	NA	NA
PF12297	0	0	0	0	1	0	Ellis van Creveld protein 2 like protein	NA	GO:0007224	NA
PF15487	0	0	0	0	1	0	FAM220 family	NA	NA	NA
PF14976	0	0	0	0	1	0	FAM72 protein	NA	NA	NA
PF14678	0	0	0	0	1	0	FANCI solenoid 4	NA	NA	NA
PF11793	0	0	0	0	1	0	FANCL C-terminal domain	NA	NA	NA
PF15865	0	0	0	0	1	0	Fanconi anaemia group A protein N terminus	NA	NA	NA
PF04300	0	0	0	0	1	1	F-box associated region	NA	NA	NA
PF06276	0	0	0	0	1	0	Ferric iron reductase FhuF-like transporter	NA	NA	NA
